code,description
5144,CONFECTIONERY PRODUCTS
5145,FISH AND SEAFOOD - WHOLESALE
5146,MEAT AND MEAT PRODUCTS
5147,FRESH FRUITS AND VEGETABLES
5150,FARM PRODUCTS
5151,COTTON
5152,GRAIN
5153,"HIDES, SKINS AND RAW FURS"
5154,LEAF TOBACCO
5155,WOOL
5156,LIVESTOCK
5157,HORSES AND MULES
5160,ELECTRICAL GOODS
5161,ELECTRICAL SUPPLIES AND EQUIPMENT WHOLESALE
5162,ELECTRICAL APPLIANCES
5170,"HARDWARE, PLUMBING, HEATING EQUIPMENT, AND SUPPLIES"
5171,HARDWARE
5172,PLUMBING AND HEATING EQUIPMENT AND SUPPLIES
5173,"AIR CONDITIONING, REFRIGERATED EQUIPMENT AND SUPPLIES"
5180,"MACHINERY, EQUIPMENT, AND SUPPLIES"
5181,"COMMERCIAL AND INDUSTRIAL MACHINERY, EQUIPMENT, AND SUPPLIES"
5182,FARM MACHINERY AND EQUIPMENT
5183,PROFESSIONAL EQUIPMENT AND SUPPLIES
5184,EQUIPMENT AND SUPPLIES FOR SERVICE ESTABLISHMENTS
5185,TRANSPORTATION EQUIPMENT AND SUPPLIES
5190,OTHER WHOLESALE TRADE
5191,METALS AND MINERALS
5192,PETROLEUM BULK STATIONS AND TERMINALS
5193,SCRAP AND WASTE MATERIALS
5194,TOBACCO AND TOBACCO PRODUCTS
5195,"BEER, WINE AND DISTILLED ALCOHOLIC BEVERAGES"
5196,PAPER AND PAPER PRODUCTS
5197,FURNITURE AND HOME FURNISHINGS
5198,LUMBER AND CONSTRUCTION MATERIALS
5200,"RETAIL TRADE - BUILDING MATERIALS, HARDWARE, AND FARM EQUIPMENT"
5210,LUMBER AND OTHER BUILDING MATERIALS - RETAIL
5211,LUMBER YARDS
5212,BUILDING MATERIALS
5215,LOCK & KEY STORES
5220,HEATING AND A/C
5230,"PAINT, GLASS AND WALLPAPER"
5240,ELECTRICAL SUPPLIES
5250,HARDWARE AND FARM EQUIPMENT
5251,HARDWARE
5252,FARM EQUIPMENT
5300,RETAIL TRADE - GENERAL MERCHANDISE
5310,DEPARTMENT STORES
5320,MAIL ORDER HOUSES
5330,VARIETY STORES
5340,VENDING MACHINE OPERATORS
5350,DIRECT SELLING ORGANIZATIONS
5390,OTHER RETAIL TRADE
5392,GENERAL STORES
5393,CARNIVAL SUPPLIES
5400,RETAIL TRADE - FOOD
5410,GROCERIES - RETAIL
5420,MEATS AND FISH
5421,MEATS
5422,FISH AND SEAFOODS - RETAIL
5430,FRUITS AND VEGETABLES
5440,"CONFECTIONERY, CANDY, AND NUT"
5445,SNOW CONE/ICE CREAM
5450,DAIRY PRODUCTS - RETAIL
5460,BAKERIES
5461,BAKERIES (MANUFACTURING)
5462,BAKERIES (NON-MANUFACTURING)
5490,OTHER FOOD
5491,EGG AND POULTRY
5500,"RETAIL TRADE - AUTOMOTIVE, MARINE CRAFT, AIRCRAFT, AND ACCESSORIES"
5510,MOTOR VEHICLES
5511,AUTOMOBILE DEALER
5512,AUTOMOBILES (USED ONLY)
5513,TRUCKS (NEW AND USED)
5514,TRUCKS (USED ONLY)
5516,MOTORCYCLES (NEW AND USED)
5517,MOTORCYCLES (USED ONLY)
5530,GASOLINE SERVICE STATIONS
5590,"AUTOMOTIVE, MARINE, AIR CRAFT AND ACCESSORIES"
5591,MARINE CRAFT AND ACCESSORIES
5592,AIR CRAFT AND ACCESSORIES
5593,AUTOMOTIVE PARTS AND ACCESSORIES
5600,RETAIL TRADE - APPAREL AND ACCESSORIES
5610,MEN'S AND BOY'S CLOTHING AND FURNISHINGS
5620,WOMEN'S READY-TO-WEAR
5630,WOMEN'S ACCESSORIES AND SPECIALTIES
5631,WIGS
5640,CHILDREN'S AND INFANT'S WEAR
5650,FAMILY CLOTHING
5660,SHOES
5670,CUSTOM TAILORING
5680,FURRIERS AND FUR APPAREL
5690,OTHER APPAREL AND ACCESSORIES
5700,"RETAIL TRADE - FURNITURE, HOME FURNISHINGS, AND EQUIPMENT"
5710,"FURNITURE, HOME FURNISHINGS, AND EQUIPMENT"
5711,FURNITURE
5712,FLOOR COVERINGS - RETAIL
5713,"DRAPERIES, CURTAINS AND UPHOLSTERY"
5714,"CHINA, GLASSWARE AND METAL WARE"
5716,CERAMICS & GREENWARE (FIGURINES)
5720,APPLIANCES
5721,APPLIANCE PARTS
5730,"RADIOS, TELEVISIONS AND MUSIC SUPPLIES"
5731,RADIOS AND TELEVISIONS
5732,MUSIC SUPPLIES
5733,VIDEO RENTAL AND SALES
5800,RETAIL TRADE - EATING AND DRINKING
5810,EATING PLACES (GROSS RECEIPTS)
5811,FAST FOODS
5812,CATERING SERVICE
5813,BANQUET HALLS
5814,COFFEE SHOP
5820,DRINKING PLACES
5900,"OTHER RETAIL TRADE, NEC"
5901,"ALARM - MONITORING, INSTALLATION & SALES"
5902,ALARM - MONITORING ONLY
5903,ALARM - INSTALLATION & SALES ONLY
5904,ALARM - SALES ONLY
5905,CELL PHONE SALES
5906,BRICK DEALER
5907,FIREARMS DEALER
5909,PHARMACIES
5910,DRUG STORES
5920,PACKAGE LIQUOR
5930,ANTIQUES AND SECOND HAND MERCHANDISE
5931,ANTIQUES
5932,SECOND HAND MERCHANDISE
5940,BOOKS AND STATIONERY
5941,BOOKS
5942,STATIONERY AND CARDS
5950,SPORTING GOODS AND BICYCLES
5951,SPORTING GOODS
5952,BICYCLES - RETAIL
5960,FARM AND GARDEN SUPPLIES
5961,"HAY, GRAINS, AND FEEDS"
5970,JEWELRY -RETAIL AND REPAIR
5980,FUEL AND ICE
5982,FUEL OIL
5983,BOTTLED GAS
5984,COAL
5990,RETAIL TRADE
5991,FLORISTS
5992,CIGARS AND CIGARETTES -RETAIL
5993,NEWSPAPERS AND MAGAZINES
5994,CAMERAS AND PHOTOGRAPHIC SUPPLIES
5995,"GIFTS, NOVELTIES, AND SOUVENIRS"
5996,OPTICAL GOODS
5997,PET SHOPS
5998,PLANT STORES AND NURSERIES
5999,COMPUTER SOFTWARE/HARDWARE SALES
6000,SERVICES
6100,"FINANCE, INSURANCE, AND REAL ESTATE SERVICES"
6110,BANKING AND BANK RELATED FUNCTIONS
6111,BANKING SERVICES
6112,BANK RELATED FUNCTIONS
6119,CHECK CASHING SERVICE
6120,CREDIT SERVICES (OTHER THAN BANKS)
6121,SAVINGS AND LOAN ASSOCIATIONS
6122,"AGRICULTURAL, BUSINESS, PERSONAL CREDIT SERVICES"
6125,LOAN COMPANY SERVICES (OTHER THAN BANKS OR S&L)
6130,"SECURITY AND COMMODITY BROKERS, DEALERS, EXCHANGES AND SERVICES"
6131,SECURITY BROKERS AND DEALERS
6132,COMMODITY CONTRACTS BROKERS AND DEALERS
6133,SECURITY AND COMMODITY EXCHANGES
6134,SECURITY AND COMMODITY ALLIED SERVICES
6140,"INSURANCE CARRIERS, AGENTS, BROKERS AND SERVICES"
6141,INSURANCE CARRIERS
6142,"INSURANCE AGENTS, BROKERS AND SERVICES"
6144,GENERAL INSURANCE
6150,REAL ESTATE AND RELATED SERVICES
6152,"REAL ESTATE AGENTS, BROKERS AND MANAGEMENT SERVICES"
6153,TITLE ABSTRACTING SERVICES
6154,REAL ESTATE SUBDIVIDING AND DEVELOPING
6155,PROPERTY MANAGEMENT SERVICES
6156,"COMBINATIONS OF REAL ESTATE, LOANS, INSURANCE AND LAW SERVICES"
6157,REAL ESTATE RENTAL OR LEASING
6160,HOLDING AND INVESTMENT SERVICES
6170,FINANCIAL AGENT
6190,"OTHER FINANCE, INSURANCE AND REAL ESTATE SERVICES"
6191,PAWN SHOPS
6200,PERSONAL SERVICES
6201,HOME HEALTH CARE SERVICES
6202,CONSUMER DIRECT SERVICES
6205,DATING/ESCORT SERVICES
6206,DATING SERVICE - TELECOMMUNICATIONS
6210,"LAUNDERING, DRY CLEANING, AND DYEING SERVICES"
6211,LAUNDROMAT
6212,LINEN SUPPLY AND INDUSTRIAL LAUNDRY SERVICES
6213,DIAPER SERVICES
6214,SELF-SERVICE LAUNDERING AND DRY CLEANING
6215,RUG CLEANING AND REPAIR
6216,UNIFORM RENTAL
6218,PICTURE FRAMING
6219,PHOTOGRAPHER TRANSIENT
6220,PHOTOGRAPHIC SERVICES
6221,BANDS AND ORCHESTRAS
6226,TATTOO PARLOR
6227,TATTOO ARTIST
6228,MAKEUP ARTIST
6229,EYE BROW & LASH DESIGNER
6230,BEAUTY AND BARBER SHOPS
6231,BEAUTY SHOPS
6232,BARBER SHOPS
6233,UNISEX SALON
6234,TANNING SALONS
6235,BEAUTICIAN
6236,BARBER
6237,NAIL SHOP
6238,NAIL TECHNICIAN
6240,"FUNERAL HOMES, CREMATORY SERVICES AND CEMETERIES"
6242,CEMETERIES
6245,EMBALMERS
6250,APPAREL AND SHOE ALTERATION AND REPAIR
6251,ALTERATION AND REPAIR
6252,FUR REPAIR AND STORAGE
6253,SHOE REPAIR AND SHINING
6254,TAXIDERMIST AND TANNING
6260,HOTELS AND MOTELS
6261,BED AND BREAKFAST
6262,AIRBNB
6290,OTHER PERSONAL SERVICES
6300,BUSINESS SERVICES
6301,EVENT PLANNER
6302,EVENT SPACE
6303,VALET SERVICE
6305,PERSONAL CHEF
6310,MARKETING/ADVERTISING SERVICES
6312,OUTDOOR ADVERTISING SERVICES
6314,COMMERCIAL ART
6315,PROCESS SERVER
6316,PUBLIC RELATIONS SERVICE
6317,PROMOTER
6318,PRODUCER
6319,DISTRIBUTION
6320,CONSUMER AND MERCANTILE CREDIT REPORT SERV ADJUSTMENT AND COLLECTION
6330,"DUPLICATING, MAILING AND STENOGRAPHIC SERVICES"
6331,DIRECT MAIL ADVERTISING SERVICES
6332,PHOTOCOPYING AND BLUE PRINTING SERVICES
6337,PLUMBING SERVICES
6338,SEWER & DRAIN CLEANING
6339,HOME INSPECTION SERVICES
6340,DWELLING AND BUILDING SERVICES
6341,WINDOW CLEANING SERVICES
6342,EXTERMINATING SERVICES
6343,JANITORIAL/CLEANING SERVICES
6345,FUMIGATOR OPERATOR
6350,NEWS SYNDICATE SERVICES
6360,EMPLOYMENT SERVICES
6361,BUSINESS INCUBATOR
6370,WAREHOUSING AND STORAGE
6371,FARM PRODUCTS WAREHOUSING AND STORAGE
6372,STOCK YARDS
6373,REFRIGERATED WAREHOUSING
6374,FOOD LOCKERS
6375,HOUSEHOLD GOODS WAREHOUSING AND STORAGE
6376,GENERAL WAREHOUSING AND STORAGE
6377,OPEN STORAGE
6378,RENTAL OR LEASING
6383,PRIVATE INVESTIGATOR
6390,OTHER BUSINESS SERVICES
6391,RESEARCH DEVELOPMENT AND TESTING SERVICES
6392,CONSULTING SERVICES - BUSINESS AND MANAGEMENT
6393,"DETECTIVE, PROTECTIVE AND GUARD SERVICES"
6394,EQUIPMENT RENTAL AND LEASING SERVICES
6395,PHOTOFINISHING SERVICES
6396,TRADING STAMP SERVICES
6397,AUTOMOBILE AND TRUCK RENTAL SERVICES
6398,MOTION PICTURE DISTRIBUTION AND SERVICES
6399,GENERAL OFFICE BUILDING (BUSINESS)
6400,REPAIR SERVICES
6410,MOTOR VEHICLE REPAIR AND SERVICES
6411,AUTOMOBILE REPAIR SERVICES
6412,CAR WASHES
6413,TRUCK REPAIR SERVICES
6414,MOBILE CAR WASH
6420,INDUSTRIAL MACHINE REPAIR
6490,OTHER REPAIR
6491,ELECTRICAL REPAIR
6492,RADIO AND T.V. REPAIR
6493,"WATCH, CLOCK, AND JEWELRY REPAIR"
6494,UPHOLSTERY AND FURNITURE REPAIR
6495,ARMATURE REWINDING SERVICES
6500,PROFESSIONAL SERVICES
6509,LABORATORIES (OTHER THAN MEDICAL)
6510,MEDICAL AND OTHER HEALTH SERVICES
6511,PHYSICIANS
6512,DENTAL
6513,HOSPITAL
6514,MEDICAL LABS
6515,DENTAL LABS
6516,"SANITARIUMS, CONVALESCENT AND REST HOMES"
6517,CLINICS - OUT-PATIENTS
6518,BLOOD BANKS
6519,MEDICAL OFFICE BUILDING
6520,LEGAL SERVICES
6521,BAIL BONDS
6522,"NOTARY PUBLICS, LICENSING"
6530,COMPUTER SERVICES
6531,GRAPHIC DESIGN
6532,WEBSITE DESIGN
6533,INTERNET SALES
6590,OTHER PROFESSIONAL SERVICES
6591,ENGINEERING AND ARCHITECTURAL SERVICES
6592,EDUCATIONAL AND SCIENTIFIC RESEARCH SERVICES
6593,"ACCOUNTING, AUDITING, AND BOOKKEEPING SERVICES"
6594,URBAN PLANNING SERVICES
6595,ART STUDIOS
6596,INCOME TAX PREPARATION / CONSULTANTS
6600,CONTRACT CONSTRUCTION SERVICES
6610,GENERAL CONTRACT - CONSTRUCTION SERVICES
6611,BUILDING CONSTRUCTION - GENERAL CONTRACTOR SERVICES
6612,STREET PAVING AND CONSTRUCTION
6613,ELECTRICAL CONTRACTOR
6614,INDUSTRIAL ELECTRICIAN
6620,SPECIAL CONSTRUCTION TRADE SERVICES
6621,"PLUMBING, HEATING AND AIR CONDITIONING SERVICES"
6622,"PAINTING, PAPER HANGING AND DECORATOR SERVICES"
6623,ELECTRICAL SERVICES
6624,"MASONRY, STONE WORK, TILE SETTING AND PLASTERING SERVICES"
6625,CARPENTRY AND WOOD FLOORING
6626,"ROOFING, SHEET METAL AND WELDING SERVICES"
6627,CONCRETE SERVICES
6628,WELL DRILLING
6630,DEMOLITION SERVICES
6650,"LANDSCAPING, YARD AND GARDEN SERVICES"
6700,GOVERNMENTAL SERVICES
6710,"EXECUTIVE, LEGISLATIVE AND JUDICIAL FUNCTIONS"
6720,PROTECTIVE FUNCTIONS
6721,POLICE PROTECTION
6722,FIRE PROTECTION
6723,CIVIL DEFENSE
6724,SECURITY OR WATCHMAN SERVICE
6730,POSTAL SERVICES
6740,CORRECTIONAL INSTITUTIONS
6741,PRISONS
6750,MILITARY BASES
6751,TRAINING BASES
6752,DEFENSE INSTALLATIONS
6753,STORAGE DEPOTS AND TRANSPORTATION CENTERS (MILITARY ONLY)
6754,MAINTENANCE CENTERS
6755,ADMINISTRATION OR COMMAND CENTERS
6756,COMMUNICATION CENTERS
6757,RECRUITING STATIONS
6800,EDUCATIONAL SERVICES
6810,"NURSERY, DAY CARE, PRIMARY AND SECONDARY SCHOOLS"
6811,DAY CARE CENTER
6812,PRIMARY (ELEMENTARY SCHOOLS)
6813,SECONDARY
6814,ADULT DAYCARE
6820,"UNIVERSITY, COLLEGE, JUNIOR COLLEGE AND PROFESSIONAL SCHOOLS"
6821,UNIVERSITY AND COLLEGE
6822,JUNIOR COLLEGES
6823,PROFESSIONAL SCHOOLS
6830,SPECIAL TRAINING AND SCHOOLING
6831,VOCATIONAL OR TRADE SCHOOLS
6832,BUSINESS SCHOOLS
6833,BARBER AND BEAUTY SCHOOLS
6834,ART AND MUSIC SCHOOLS
6835,DANCING SCHOOLS
6836,DRIVING SCHOOLS
6837,CORRESPONDENCE SCHOOLS
6838,ADULT EDUCATION
6840,HANDICAPPED SCHOOLING
6900,MISCELLANEOUS SERVICES
6910,RELIGIOUS ACTIVITIES
6911,"CHURCHES, SYNAGOGUES AND TEMPLES"
6913,STOREFRONT CHURCHES
6920,"WELFARE, SOCIAL AND CHARITABLE SERVICES"
6921,FAMILY CARE CENTERS
6922,SOCIAL SERVICES
6950,AUCTIONEERS
6951,AUCTION CRIER
6990,OTHER MISCELLANEOUS SERVICES
6991,BUSINESS ASSOCIATIONS
6992,PROFESSIONAL MEMBERSHIP ORGANIZATIONS
6993,LABOR UNIONS
6994,"CIVIC, SOCIAL AND FRATERNAL ORGANIZATIONS"
6995,RECYCLING
7000,"CULTURAL, ENTERTAINMENT, AND RECREATIONAL"
7100,CULTURAL ACTIVITIES AND NATURE EXHIBITIONS
7110,CULTURAL ACTIVITIES
7111,LIBRARIES
7112,MUSEUMS
7113,ART GALLERIES
7120,NATURE EXHIBITIONS
7121,PLANETARIA
7122,AQUARIUMS
7123,BOTANICAL GARDENS
7124,ZOOS
7143,FIRE INSURANCE
7190,OTHER CULTURAL ACTIVITIES AND NATURE EXHIBITIONS
7191,HISTORIC AND MONUMENT SITES
7200,PUBLIC ASSEMBLY
7210,ENTERTAINMENT ASSEMBLY
7211,AMPHITHEATRES
7212,MOTION PICTURE THEATRES
7213,DRIVE-IN MOVIES
7214,LEGITIMATE THEATRES
7215,DANCE HALLS
7220,SPORTS ASSEMBLY
7221,STADIUMS
7222,ARENAS AND FIELD HOUSES
7223,RACE TRACKS
7230,PUBLIC ASSEMBLY
7231,AUDITORIUMS
7232,EXHIBITION HALLS
7290,OTHER PUBLIC ASSEMBLY
7300,AMUSEMENTS (5 PER CENT)
7301,AMUSEMENT DECAL $10.00
7310,FAIRGROUNDS AND AMUSEMENT PARKS
7311,FAIRGROUNDS
7312,AMUSEMENT PARKS
7390,OTHER AMUSEMENTS
7391,PENNY ARCADES
7392,MINIATURE GOLF
7393,GOLF DRIVING RANGES
7394,GO-CART TRACKS
7395,PINBALL AND POOL HALLS
7396,BILLIARDS AND POOL
7400,RECREATIONAL ACTIVITIES
7405,EXHIBITION SPORTS
7410,SPORTS ACTIVITIES
7411,GOLF COURSES
7413,TENNIS COURTS
7414,ICE SKATING RINKS
7415,ROLLER SKATING RINKS
7416,RACQUET AND HAND BALL COURTS
7417,BOWLING
7418,PARTY BUS
7420,PLAYGROUNDS AND ATHLETIC AREAS
7421,PLAY LOTS OR TOT LOTS
7422,PLAYGROUNDS
7423,PLAY FIELDS OR ATHLETIC FIELDS
7424,RECREATION CENTERS
7425,GYMS AND ATHLETIC CLUBS
7426,HEALTH SPAS AND SAUNAS
7427,MASSAGE PARLORS
7428,HEALTH SPAS AND SAUNAS
7429,MASSAGE THERAPIST
7430,SWIMMING POOLS
7431,YOGA INSTRUCTOR
7432,YOGA STUDIO
7433,PILATES INSTRUCTOR
7434,PILATES STUDIO
7435,MARTIAL ARTS STUDIO
7436,PERSONAL TRAINER
7440,MARINAS
7441,YACHT CLUBS
7442,BOAT RENTALS
7490,OTHER RECREATION
7491,CAMPING AND PICNIC AREAS
7500,RESORTS AND GROUP CAMPS
7520,GROUP OR ORGANIZED CAMPS
7600,PARKS
7610,PARKS
7620,VEST POCKET PARKS
7900,"OTHER CULTURAL, ENTERTAINMENT AND RECREATIONAL ACTIVITIES"
7929,ENTERTAINMENT
8000,GENERAL SERVICES
8200,AGRICULTURAL RELATED ACTIVITIES
8220,ANIMAL SERVICES
8221,VETERINARIAN SERVICES
8222,ANIMAL HOSPITAL SERVICES
8223,DOG DAYCARE
8224,BOARDING KENNELS
8225,DOG GROOMING
8888,CRITICAL DATA FILE
9000,UNDEVELOPED LAND AND WATER AREAS
9100,VACANT COMMERCIAL / INDUSTRIAL LOT
9110,MT RESIDENTIAL
9111,VACANT AND OPEN
9112,VACANT AND BOARDED
9120,MT MANUFACTURING
9130,"MT TRANSPORTATION, UTILITIES, AND COMMUNICATION"
9140,MT TRADE
9141,VACANT AND OPEN - INDUSTRIAL
9142,VACANT AND BOARDED - INDUSTRIAL
9150,MT SERVICE
9151,VACANT AND OPEN - COMMERCIAL
9152,VACANT AND BOARDED - COMMERCIAL
9160,"MT CULTURAL, ENTERTAINMENT, AND RECREATION"
9170,MT ANIMAL SERVICES
9171,VACANT AND OPEN - RESIDENTIAL
9172,VACANT AND BOARDED - RESIDENTIAL
9400,VACANT FLOOR AREA
9500,LOBBY
9510,UNDER CONSTRUCTION (RESIDENTIAL)
9520,UNDER CONSTRUCTION (NONRESIDENTIAL)
9600,PUBLIC REST ROOMS
9800,UNSPECIFIED
9900,"OTHER UNDEVELOPED LAND AND WATER AREAS, NEC"
9999,TEST
